Total Kasus;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?
14 Aug;840;3.980;2.208;205;274;946;28.299;222;8.275;11.340;26.979;444;2.227;2.151;6.989;312;625;2.399;3.844;1.300;3.211;5.427;1.139;10.793;223;332;918;1.729;1.416;595;3.345;299;162;1.675;0
15 Aug;865;4.024;2.241;207;277;992;28.882;225;8.512;11.471;27.415;447;2.283;2.188;7.051;325;647;2.421;3.880;1.337;3.261;5.622;1.167;10.895;223;332;959;1.739;1.448;601;3.345;306;165;1.715;0
16 Aug;876;4.065;2.284;212;279;1.025;29.400;225;8.595;11.639;27.903;447;2.369;2.188;7.151;328;657;2.436;3.909;1.350;3.282;5.673;1.202;11.051;223;341;983;1.741;1.495;605;3.422;307;165;1.721;0
17 Aug;1.044;4.110;2.301;214;279;1.041;29.952;245;8.640;11.675;28.239;447;2.485;2.215;7.241;329;664;2.458;3.910;1.376;3.288;5.690;1.216;11.148;227;343;1.017;1.744;1.521;607;3.432;319;165;1.788;0
18 Aug;1.069;4.158;2.364;216;280;1.059;30.465;245;8.685;11.793;28.551;452;2.578;2.258;7.281;329;664;2.481;3.919;1.413;3.315;5.820;1.217;11.187;228;343;1.039;1.746;1.530;620;3.432;320;165;1.821;0
19 Aug;1.132;4.220;2.411;219;286;1.090;31.016;250;8.789;11.924;28.886;456;2.669;2.258;7.363;332;679;2.505;3.964;1.439;3.336;5.898;1.217;11.219;233;346;1.050;1.756;1.553;634;3.453;322;165;1.875;0
20 Aug;1.137;4.292;2.434;220;286;1.138;31.610;250;8.988;12.092;29.257;471;2.697;2.291;7.544;337;680;2.526;3.988;1.483;3.401;5.957;1.277;11.278;233;352;1.097;1.761;1.611;640;3.520;323;165;1.875;0
21 Aug;1.141;4.368;2.470;222;287;1.163;32.267;271;9.081;12.188;29.715;500;2.892;2.314;7.618;339;701;2.550;4.037;1.528;3.451;5.978;1.299;11.376;235;353;1.132;1.761;1.611;643;3.534;331;165;1.887;0
22 Aug;1.211;4.446;2.512;226;288;1.178;32.855;274;9.215;12.288;30.036;533;3.021;2.348;7.696;340;701;2.564;4.091;1.565;3.522;6.051;1.310;11.437;236;356;1.195;1.770;1.615;647;3.567;347;170;1.887;0
23 Aug;1.211;4.513;2.544;228;288;1.193;33.470;274;9.283;12.476;30.315;566;3.101;2.410;7.777;349;745;2.582;4.125;1.633;3.552;6.129;1.323;11.470;238;362;1.237;1.774;1.669;649;3.567;352;171;1.959;0
24 Aug;1.241;4.576;2.605;228;289;1.207;34.103;274;9.420;12.628;30.635;578;3.145;2.427;7.838;357;756;2.596;4.157;1.659;3.554;6.166;1.327;11.516;239;365;1.279;1.778;1.677;659;3.650;353;171;1.959;0
25 Aug;1.261;4.650;2.637;231;300;1.248;34.740;281;9.670;12.826;30.998;605;3.286;2.438;7.920;360;767;2.613;4.202;1.736;3.598;6.300;1.365;11.568;239;369;1.319;1.779;1.742;659;3.650;360;172;1.970;0
26 Aug;1.291;4.726;2.666;235;303;1.264;35.453;289;9.848;12.973;31.329;605;3.420;2.446;7.974;361;775;2.641;4.223;1.823;3.613;6.437;1.402;11.638;239;371;1.361;1.809;1.748;711;3.686;362;173;1.970;0
27 Aug;1.399;4.808;2.725;235;305;1.306;36.213;296;10.002;13.225;31.696;611;3.626;2.464;8.013;361;825;2.662;4.248;1.864;3.652;6.541;1.452;11.680;239;376;1.460;1.825;1.781;720;3.709;368;174;2.023;0
28 Aug;1.449;4.901;2.767;235;329;1.326;37.082;302;10.528;13.467;32.113;611;3.723;2.464;8.081;373;861;2.685;4.305;1.890;3.686;6.627;1.501;11.756;240;378;1.526;1.840;1.785;726;3.735;384;176;2.035;0
29 Aug;1.546;4.989;2.827;235;332;1.373;37.943;302;10.815;13.647;32.754;627;3.923;2.482;8.192;379;900;2.727;4.361;1.978;3.751;6.730;1.539;11.841;241;382;1.605;1.840;1.812;746;3.771;388;176;2.041;0
30 Aug;1.600;5.078;2.872;239;343;1.397;39.037;302;10.918;13.785;33.220;645;4.120;2.507;8.256;382;900;2.728;4.401;2.068;3.833;6.769;1.565;11.870;241;389;1.739;1.858;1.832;752;3.796;393;177;2.041;0
31 Aug;1.633;5.207;2.903;239;343;1.425;40.086;302;11.063;13.964;33.543;645;4.244;2.548;8.288;384;990;2.742;4.454;2.157;3.848;6.827;1.566;11.978;243;395;1.846;1.860;1.857;807;3.796;395;177;2.041;0
1 Sep;1.649;5.367;2.929;239;349;1.445;40.987;302;11.278;14.164;33.893;653;4.305;2.585;8.357;392;1.017;2.758;4.486;2.240;3.893;6.942;1.608;12.057;244;399;1.924;1.866;1.900;831;3.862;396;179;2.075;0
2 Sep;1.697;5.536;2.997;239;353;1.474;42.041;303;11.481;14.428;34.278;659;4.377;2.585;8.416;396;1.064;2.772;4.520;2.328;3.908;7.124;1.623;12.194;245;410;2.031;1.871;1.910;836;3.873;396;191;2.090;0
3 Sep;1.794;5.710;3.031;240;361;1.507;43.400;303;11.719;14.670;34.655;674;4.534;2.636;8.527;422;1.100;2.786;4.583;2.372;3.942;7.265;1.629;12.244;249;424;2.137;1.878;1.961;861;3.901;402;200;2.151;0
4 Sep;1.884;5.906;3.053;242;364;1.525;44.280;304;12.104;14.860;35.005;685;4.815;2.689;8.576;426;1.165;2.795;4.618;2.437;3.972;7.390;1.661;12.321;249;428;2.267;1.887;2.004;888;3.973;402;202;2.160;0
5 Sep;1.945;6.071;3.102;242;369;1.546;45.157;304;12.332;15.118;35.331;691;4.943;2.689;8.657;435;1.182;2.828;4.660;2.507;3.990;7.552;1.677;12.475;252;440;2.445;1.887;2.064;895;4.074;419;204;2.182;0
6 Sep;2.023;6.212;3.187;243;391;1.557;46.333;304;12.505;15.351;35.634;704;5.129;2.740;8.760;443;1.182;2.847;4.675;2.751;4.002;7.633;1.706;12.684;252;452;2.585;1.887;2.144;908;4.074;419;206;2.186;0
7 Sep;2.042;6.385;3.264;243;391;1.571;47.379;304;12.709;15.615;35.941;704;5.191;2.807;8.837;448;1.235;2.855;4.745;2.795;4.003;7.725;1.706;12.695;252;455;2.718;1.896;2.164;940;4.148;419;206;2.201;0
8 Sep;2.054;6.549;3.323;250;394;1.595;48.393;304;13.045;15.852;36.342;711;5.277;2.807;8.903;455;1.259;2.875;4.786;2.910;4.024;7.832;1.717;12.746;257;466;2.831;1.900;2.206;941;4.162;435;209;2.225;0
9 Sep;2.152;6.723;3.360;252;397;1.645;49.397;308;13.333;16.133;36.712;723;5.357;2.851;9.001;456;1.312;2.890;4.824;3.020;4.046;7.964;1.741;12.864;261;488;2.969;1.910;2.228;959;4.162;450;213;2.241;0
10 Sep;2.258;6.834;3.402;263;400;1.695;50.671;309;13.668;16.508;37.093;728;5.447;2.887;9.078;458;1.340;2.901;4.890;3.124;4.064;8.110;1.767;13.032;261;509;3.163;1.911;2.248;970;4.276;456;213;2.269;0
11 Sep;2.403;6.978;3.448;270;430;1.744;51.635;314;13.940;17.074;37.455;736;5.599;2.920;9.152;460;1.357;2.910;4.945;3.161;4.085;8.241;1.801;13.183;269;511;3.345;1.918;2.365;1.019;4.330;458;213;2.271;
12 Sep;2.527;7.113;3.469;275;458;1.787;52.840;319;14.231;17.460;37.839;747;5.752;2.966;9.249;465;1.378;2.923;5.018;3.264;4.105;8.362;1.834;13.235;269;555;3.569;1.921;2.377;1.086;4.392;462;217;2.282;0
13 Sep;2.739;7.226;3.519;283;466;1.836;54.220;321;14.388;17.742;38.088;754;5.926;3.002;9.282;469;1.411;2.939;5.051;3.387;4.149;8.465;1.869;13.291;271;555;3.781;1.935;2.434;1.086;4.476;470;237;2.314;0
14 Sep;2.892;7.312;3.574;283;467;1.869;55.099;321;14.591;17.913;38.431;780;6.049;3.002;9.423;474;1.430;2.961;5.078;3.505;4.165;8.559;1.890;13.476;271;615;3.909;1.940;2.465;1.185;4.572;471;237;2.314;
15 Sep;3.032;7.380;3.636;284;476;1.895;56.175;331;14.938;18.111;38.809;784;6.100;3.059;9.500;479;1.438;2.981;5.118;3.633;4.171;8.808;1.948;13.583;272;644;4.054;1.956;2.481;1.236;4.637;475;276;2.330;0
16 Sep;3.127;7.429;3.774;295;480;1.943;57.469;345;15.231;18.451;39.181;803;6.317;3.123;9.511;481;1.460;2.990;5.175;3.749;4.182;8.934;2.008;13.747;276;666;4.237;1.966;2.500;1.278;4.763;477;289;2.336;0
17 Sep;3.236;7.492;3.895;305;510;1.984;58.582;351;15.584;18.744;39.508;825;6.486;3.123;9.547;483;1.494;3.009;5.233;3.868;4.212;9.051;2.043;13.867;278;687;4.462;1.972;2.503;1.333;4.836;482;302;2.341;0
18 Sep;3.352;7.543;4.036;306;523;2.037;59.840;358;15.925;18.942;39.993;840;6.605;3.178;9.572;485;1.582;3.029;5.293;4.002;4.232;9.176;2.060;14.026;289;694;4.687;1.973;2.510;1.387;4.894;484;313;2.353;0
19 Sep;3.527;7.628;4.164;310;530;2.111;60.828;372;16.395;19.213;40.372;861;6.716;3.228;9.650;488;1.627;3.082;5.331;4.161;4.254;9.273;2.119;14.193;297;715;4.990;1.992;2.551;1.435;5.099;485;315;2.375;0
20 Sep;3.595;7.749;4.343;311;536;2.181;61.966;386;16.822;19.516;40.708;867;6.776;3.272;9.735;489;1.639;3.101;5.402;4.267;4.295;9.368;2.187;14.367;320;728;5.288;1.992;2.566;1.495;5.149;504;321;2.435;0
21 Sep;3.694;7.888;4.464;312;536;2.245;63.318;386;17.502;19.754;41.076;868;6.954;3.300;9.817;492;1.724;3.126;5.449;4.448;4.317;9.468;2.223;14.403;321;738;5.448;2.011;2.615;1.516;5.176;505;321;2.437;0
22 Sep;3.785;7.996;4.593;320;541;2.312;64.554;386;18.077;19.982;41.417;879;7.068;3.300;9.902;503;1.747;3.137;5.497;4.649;4.329;9.566;2.261;14.524;330;762;5.701;2.014;2.652;1.587;5.249;530;332;2.441;0
23 Sep;3.835;8.126;4.809;334;572;2.375;65.687;395;18.593;20.239;41.755;885;7.264;3.392;9.984;532;1.864;3.161;5.607;4.853;4.335;9.653;2.351;14.648;344;778;5.889;2.035;2.654;1.674;5.387;540;349;2.489;0
24 Sep;3.891;8.245;4.939;335;579;2.397;66.731;399;19.397;20.673;42.098;901;7.459;3.431;10.047;550;1.875;3.200;5.690;5.155;4.357;9.749;2.422;14.813;348;799;6.120;2.039;2.654;1.674;5.653;546;367;2.489;0
25 Sep;3.982;8.389;5.050;336;590;2.458;67.902;409;20.131;21.004;42.391;935;7.851;3.474;10.080;556;2.022;3.218;5.734;5.363;4.390;9.843;2.501;14.982;354;814;6.315;2.045;2.654;1.820;5.763;567;388;2.534;0
26 Sep;4.173;8.452;5.185;337;600;2.499;69.224;425;20.517;21.368;42.670;946;8.070;3.474;10.120;563;2.115;3.246;5.794;5.504;4.412;9.941;2.681;15.175;375;826;6.577;2.048;2.727;1.951;5.840;571;394;2.539;0
27 Sep;4.246;8.532;5.290;337;645;2.519;70.441;446;20.954;21.626;42.890;957;8.210;3.485;10.197;569;2.170;3.265;5.876;5.720;4.437;10.038;2.763;15.295;375;841;6.780;2.048;2.727;1.990;5.953;617;402;2.572;0
28 Sep;4.325;8.639;5.417;337;647;2.558;71.339;467;21.443;21.930;43.174;957;8.324;3.549;10.237;573;2.182;3.282;5.927;5.926;4.444;10.123;2.780;15.354;393;851;7.034;2.052;2.727;2.054;5.999;617;402;2.659;
29 Sep;4.471;8.745;5.499;347;665;2.607;72.577;490;21.759;22.205;43.450;974;8.438;3.634;10.289;575;2.200;3.289;5.985;6.180;4.456;10.211;2.819;15.501;402;875;7.270;2.059;2.815;2.088;5.999;773;406;2.671;0
30 Sep;4.554;8.878;5.643;361;693;2.643;73.736;513;22.205;22.435;43.744;982;8.651;3.645;10.348;577;2.234;3.316;6.095;6.281;4.487;10.313;2.862;15.579;410;894;7.622;2.065;2.815;2.135;6.321;794;424;2.753;0
1 Oct;4.666;9.019;5.743;371;713;2.680;74.989;534;22.764;22.734;44.058;1.011;8.782;3.691;10.403;583;2.250;3.346;6.135;6.473;4.505;10.424;2.910;15.698;440;907;7.887;2.067;2.859;2.166;6.382;804;429;2.759;0
2 Oct;4.854;9.149;5.825;387;722;2.700;76.187;558;23.308;23.078;44.341;1.017;9.101;3.720;10.479;590;2.273;3.372;6.207;6.587;4.530;10.513;2.989;15.772;450;932;8.068;2.074;2.976;2.213;6.504;809;439;2.775;0
3 Oct;4.927;9.254;5.960;406;724;2.772;77.452;571;23.651;23.450;44.649;1.023;9.218;3.758;10.562;597;2.306;3.394;6.277;6.872;4.551;10.599;3.032;15.815;461;942;8.240;2.075;2.976;2.259;6.690;820;448;2.775;0
4 Oct;4.994;9.365;6.129;411;728;2.791;78.850;593;23.899;23.764;44.898;1.042;9.446;3.776;10.618;603;2.343;3.420;6.323;7.127;4.576;10.682;3.066;15.883;466;951;8.403;2.075;3.040;2.346;6.781;829;464;2.816;0
5 Oct;5.064;9.448;6.268;423;752;2.813;79.872;618;24.402;24.129;45.135;1.044;9.563;3.804;10.662;605;2.382;3.441;6.346;7.343;4.595;10.771;3.069;15.900;467;988;8.701;2.077;3.062;2.361;6.881;830;465;2.839;0
6 Oct;5.182;9.547;6.368;428;758;2.833;80.979;647;24.910;24.529;45.417;1.085;9.763;3.818;10.734;610;2.411;3.464;6.417;7.429;4.630;10.869;3.161;15.946;491;1.015;8.832;2.077;3.130;2.475;7.073;842;467;2.839;0
7 Oct;5.254;9.652;6.448;438;762;2.853;82.190;669;25.662;24.913;45.748;1.095;9.965;3.855;10.774;623;2.421;3.471;6.531;7.623;4.652;10.965;3.256;16.085;514;1.031;8.982;2.077;3.178;2.544;7.214;862;485;2.922;0
8 Oct;5.423;9.759;6.570;440;774;2.904;83.372;715;26.259;25.261;46.095;1.108;10.203;3.866;10.816;629;2.450;3.485;6.614;7.824;4.685;11.064;3.356;16.298;528;1.089;9.226;2.082;3.272;2.754;7.312;868;532;2.931;0
9 Oct;5.546;9.897;6.711;454;785;2.960;84.315;760;26.763;25.673;46.405;1.136;10.338;3.890;10.897;632;2.450;3.513;6.677;8.119;4.704;11.159;3.419;16.399;539;1.089;9.430;2.082;3.272;2.854;7.428;878;551;2.933;0
10 Oct;5.644;10.028;6.882;461;796;3.029;85.574;790;27.031;26.083;46.715;1.216;10.469;3.907;10.950;637;2.525;3.520;6.743;8.364;4.744;11.247;3.477;16.562;552;1.120;9.661;2.089;3.396;2.891;7.472;879;558;2.940;0
11 Oct;5.767;10.135;6.988;474;803;3.064;86.963;812;27.236;26.401;46.984;1.297;10.663;3.941;11.026;645;2.547;3.539;6.776;8.714;4.798;11.332;3.568;16.738;568;1.131;9.971;2.089;3.435;3.016;7.622;894;565;2.947;0
12 Oct;5.844;10.228;7.067;474;804;3.107;88.174;825;27.522;26.640;47.280;1.297;10.729;3.967;11.052;649;2.619;3.554;6.821;8.880;4.803;11.419;3.627;16.819;569;1.147;10.180;2.105;3.448;3.036;7.622;894;565;2.949;0
13 Oct;5.895;10.304;7.148;475;807;3.145;89.228;863;28.087;27.106;47.595;1.311;10.837;3.978;11.130;662;2.641;3.562;6.887;9.052;4.812;11.508;3.736;16.917;586;1.162;10.343;2.110;3.454;3.079;7.764;917;572;2.949;0
14 Oct;5.960;10.413;7.239;480;825;3.171;90.266;893;28.529;27.392;47.894;1.328;11.047;3.987;11.185;673;2.660;3.588;6.947;9.403;4.857;11.596;3.802;17.066;596;1.204;10.643;2.114;3.459;3.079;7.988;932;574;2.959;0
15 Oct;6.077;10.513;7.350;484;832;3.216;91.337;916;29.119;27.864;48.161;1.357;11.212;4.014;11.261;673;2.699;3.613;7.005;9.766;4.868;11.686;3.902;17.179;617;1.221;10.824;2.115;3.471;3.235;8.099;939;575;2.960;0
16 Oct;6.254;10.605;7.466;488;839;3.261;92.382;942;29.543;28.307;48.452;1.382;11.306;4.045;11.329;687;2.768;3.646;7.058;10.250;4.930;11.775;3.950;17.286;617;1.250;11.102;2.120;3.479;3.353;8.099;944;582;2.964;0
17 Oct;6.436;10.697;7.593;499;862;3.285;93.356;968;30.043;28.723;48.690;1.413;11.503;4.081;11.400;691;2.768;3.673;7.104;10.700;4.959;11.861;4.023;17.352;668;1.285;11.358;2.120;3.521;3.465;8.168;949;584;2.964;0
18 Oct;6.551;10.771;7.723;515;877;3.325;94.327;982;30.254;29.079;48.932;1.428;11.885;4.081;11.439;714;2.836;3.704;7.143;10.963;4.985;11.944;4.249;17.483;685;1.298;11.642;2.120;3.561;3.626;8.239;952;587;2.967;0
19 Oct;6.667;10.880;7.843;516;880;3.343;95.253;988;30.778;29.395;49.174;1.428;11.970;4.122;11.446;715;2.883;3.732;7.182;11.205;5.026;12.035;4.275;17.526;687;1.340;11.839;2.131;3.597;3.636;8.239;952;588;2.969;0
20 Oct;6.765;10.955;7.922;523;915;3.356;96.217;1.027;31.250;29.844;49.474;1.451;12.038;4.149;11.488;715;2.915;3.753;7.229;11.373;5.048;12.125;4.301;17.593;726;1.376;12.006;2.142;3.617;3.653;8.368;967;592;2.969;0
21 Oct;6.844;11.042;8.093;538;917;3.389;97.217;1.049;31.907;30.218;49.801;1.451;12.221;4.162;11.508;735;3.012;3.785;7.328;11.652;5.075;12.212;4.382;17.690;762;1.420;12.319;2.152;3.624;3.688;8.368;971;605;2.972;0
22 Oct;6.947;11.125;8.313;544;928;3.434;98.206;1.068;32.643;30.731;50.069;1.497;12.480;4.162;11.535;752;3.012;3.810;7.362;11.875;5.087;12.297;4.472;17.767;775;1.460;12.601;2.180;3.624;3.761;8.463;971;615;2.975;0
23 Oct;7.037;11.203;8.458;544;961;3.462;99.158;1.092;33.147;31.302;50.364;1.528;12.703;4.213;11.583;761;3.126;3.830;7.435;12.132;5.132;12.388;4.550;17.828;787;1.522;12.877;2.187;3.650;3.858;8.512;971;634;2.975;0
24 Oct;7.125;11.279;8.563;549;969;3.506;100.220;1.118;33.568;31.586;50.653;1.564;12.944;4.233;11.629;766;3.207;3.836;7.500;12.432;5.176;12.472;4.622;17.893;799;1.551;13.257;2.188;3.718;3.879;8.569;978;649;2.982;0
25 Oct;7.212;11.388;8.794;553;995;3.550;100.991;1.140;33.924;31.942;50.921;1.564;13.119;4.251;11.648;780;3.362;3.858;7.522;12.791;5.209;12.562;4.665;17.936;817;1.601;13.547;2.188;3.739;3.885;8.618;987;652;3.001;0
26 Oct;7.252;11.455;8.914;554;995;3.576;101.897;1.149;34.355;32.098;51.217;1.577;13.225;4.274;11.650;782;3.500;3.884;7.538;13.060;5.232;12.655;4.675;17.950;821;1.646;13.752;2.192;3.739;3.891;8.785;988;653;3.003;
27 Oct;7.265;11.520;9.038;566;1.017;3.617;102.678;1.156;34.745;32.414;51.506;1.606;13.348;4.284;11.662;791;3.603;3.913;7.581;13.373;5.243;12.745;4.713;18.155;838;1.686;13.998;2.193;3.772;3.974;8.785;997;667;3.005;0
28 Oct;7.339;11.588;9.208;573;1.040;3.662;103.522;1.188;35.148;32.732;51.752;1.620;13.562;4.288;11.732;805;3.738;3.940;7.667;13.649;5.287;12.837;4.856;18.275;848;1.729;14.251;2.196;3.785;4.080;8.910;1.000;669;3.007;0
29 Oct;7.373;11.647;9.299;578;1.049;3.744;104.235;1.219;35.607;33.100;52.020;1.633;13.770;4.328;11.764;814;3.901;3.950;7.744;13.984;5.351;12.925;4.902;18.298;855;1.757;14.511;2.196;3.790;4.088;8.930;1.000;679;3.007;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
